WGS84_1;WGS84_2;LV95_1;LV95_2
7.280111618;47.1259522;2587972;1219453
7.273291456;47.12382874;2587454;1219218
7.272756745;47.12625658;2587414;1219488
7.269070412;47.12505485;2587134;1219355
7.265091706;47.1246531;2586832;1219311
7.284617671;47.12636314;2588314;1219498
7.271546726;47.12547226;2587322;1219401
7.271100966;47.12473403;2587288;1219319
7.285370825;47.12568954;2588371;1219423
7.284349181;47.1235114;2588293;1219181
7.270872362;47.12618187;2587271;1219480
7.26427227;47.12537144;2586770;1219391
7.280097324;47.12190449;2587970;1219003
7.267833481;47.12446834;2587040;1219290
7.265000688;47.12427517;2586825;1219269
7.291934195;47.12560821;2588869;1219413
7.273331299;47.12372985;2587457;1219207
7.278744352;47.12483493;2587868;1219329
7.268732821;47.11934259;2587107;1218720
7.264841135;47.12470668;2586813;1219317
7.275640844;47.12695333;2587633;1219565
7.283111068;47.12328485;2588199;1219156
7.27790113;47.12476179;2587804;1219321
7.278344789;47.12622858;2587838;1219484
7.261891398;47.12004281;2586588;1218799
7.283584807;47.12351936;2588235;1219182
7.27522328;47.12559451;2587601;1219414
7.278645929;47.12250512;2587860;1219070
7.277963816;47.12146076;2587808;1218954
7.283919492;47.12625426;2588261;1219486
7.280391187;47.12500813;2587993;1219348
7.264750354;47.1242568;2586806;1219267
7.275803896;47.12535248;2587645;1219387
7.260582548;47.12131805;2586489;1218941
7.284275144;47.1263177;2588288;1219493
7.279281771;47.12580713;2587909;1219437
7.275697666;47.12561318;2587637;1219416
7.273121618;47.12335176;2587441;1219165
7.268842899;47.12614289;2587117;1219476
7.266888364;47.1192229;2586967;1218707
7.280837265;47.12568336;2588027;1219423
7.273304802;47.12377479;2587455;1219212
7.283247621;47.1261634;2588210;1219476
7.279750531;47.12329821;2587944;1219158
7.265396544;47.12412286;2586855;1219252
7.266122415;47.12380014;2586910;1219216
7.275864757;47.12269008;2587649;1219091
7.278438789;47.12127253;2587844;1218933
7.28532244;47.12418733;2588367;1219256
7.281183672;47.12441556;2588053;1219282
7.275017053;47.11980151;2587584;1218770
7.267249391;47.12578071;2586996;1219436
7.276876855;47.12355503;2587726;1219187
7.266633875;47.12457447;2586949;1219302
7.268299053;47.1231198;2587075;1219140
7.277492271;47.12051563;2587772;1218849
7.278805084;47.12655304;2587873;1219520
7.281079841;47.12387573;2588045;1219222
7.268226335;47.12525148;2587070;1219377
7.280334805;47.12624035;2587989;1219485
7.282216367;47.1227979;2588131;1219102
7.265856567;47.12450134;2586890;1219294
7.267002617;47.12465598;2586977;1219311
7.269107054;47.12596338;2587137;1219456
7.280869252;47.12378549;2588029;1219212
7.263905683;47.1246333;2586742;1219309
7.274819501;47.11976525;2587569;1218766
7.266251169;47.12473581;2586920;1219320
7.269431108;47.11937961;2587160;1218724
7.271284845;47.12493218;2587302;1219341
7.284177261;47.12371805;2588280;1219204
7.276957322;47.12743193;2587733;1219618
7.278856672;47.12254139;2587876;1219074
7.271391378;47.12458154;2587310;1219302
7.277265223;47.12585827;2587756;1219443
7.278107946;47.12610232;2587820;1219470
7.285186424;47.12565331;2588357;1219419
7.275921377;47.12141289;2587653;1218949
7.270781867;47.12562405;2587264;1219418
7.286305191;47.12615852;2588442;1219475
7.267116732;47.12605036;2586986;1219466
7.281667114;47.12582842;2588090;1219439
7.284988168;47.12585093;2588342;1219441
7.282709678;47.12534413;2588169;1219385
7.284637674;47.12400651;2588315;1219236
7.269415614;47.12010817;2587159;1218805
7.275866491;47.12212341;2587649;1219028
7.273867494;47.12506187;2587498;1219355
7.267273085;47.12251561;2586997;1219073
7.276258567;47.1275119;2587680;1219627
7.276173509;47.12515512;2587673;1219365
7.276477252;47.12494867;2587696;1219342
7.26620032;47.12416006;2586916;1219256
7.26635325;47.12577037;2586928;1219435
7.265628951;47.11749398;2586871;1218515
7.277657594;47.12249474;2587785;1219069
7.273912349;47.12334391;2587501;1219164
7.267649067;47.12444108;2587026;1219287
7.271102693;47.12418534;2587288;1219258
7.274374703;47.12298478;2587536;1219124
7.286097422;47.12507886;2588426;1219355
7.269673751;47.12596422;2587180;1219456
