;Unnamed: 0;ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING;building_id;dach0_featureId;dach0_flaeche;dach0_gstrahlung;dach0_eignung;dach0_stromertrag;dach1_featureId;dach1_flaeche;dach1_gstrahlung;dach1_eignung;dach1_stromertrag;dach2_featureId;dach2_flaeche;dach2_gstrahlung;dach2_eignung;dach2_stromertrag;dach3_featureId;dach3_flaeche;dach3_gstrahlung;dach3_eignung;dach3_stromertrag;dach4_featureId;dach4_flaeche;dach4_gstrahlung;dach4_eignung;dach4_stromertrag;dach5_featureId;dach5_flaeche;dach5_gstrahlung;dach5_eignung;dach5_stromertrag;dach6_featureId;dach6_flaeche;dach6_gstrahlung;dach6_eignung;dach6_stromertrag;dach7_featureId;dach7_flaeche;dach7_gstrahlung;dach7_eignung;dach7_stromertrag;dach8_featureId;dach8_flaeche;dach8_gstrahlung;dach8_eignung;dach8_stromertrag;dach9_featureId;dach9_flaeche;dach9_gstrahlung;dach9_eignung;dach9_stromertrag;dach10_featureId;dach10_flaeche;dach10_gstrahlung;dach10_eignung;dach10_stromertrag;dach11_featureId;dach11_flaeche;dach11_gstrahlung;dach11_eignung;dach11_stromertrag;dach12_featureId;dach12_flaeche;dach12_gstrahlung;dach12_eignung;dach12_stromertrag;dach13_featureId;dach13_flaeche;dach13_gstrahlung;dach13_eignung;dach13_stromertrag;dach14_featureId;dach14_flaeche;dach14_gstrahlung;dach14_eignung;dach14_stromertrag;dach15_featureId;dach15_flaeche;dach15_gstrahlung;dach15_eignung;dach15_stromertrag;dach16_featureId;dach16_flaeche;dach16_gstrahlung;dach16_eignung;dach16_stromertrag;dach17_featureId;dach17_flaeche;dach17_gstrahlung;dach17_eignung;dach17_stromertrag;dach18_featureId;dach18_flaeche;dach18_gstrahlung;dach18_eignung;dach18_stromertrag;dach19_featureId;dach19_flaeche;dach19_gstrahlung;dach19_eignung;dach19_stromertrag;dach20_featureId;dach20_flaeche;dach20_gstrahlung;dach20_eignung;dach20_stromertrag;dach21_featureId;dach21_flaeche;dach21_gstrahlung;dach21_eignung;dach21_stromertrag;dach22_featureId;dach22_flaeche;dach22_gstrahlung;dach22_eignung;dach22_stromertrag;dach23_featureId;dach23_flaeche;dach23_gstrahlung;dach23_eignung;dach23_stromertrag;dach24_featureId;dach24_flaeche;dach24_gstrahlung;dach24_eignung;dach24_stromertrag
312;135053;101954988;10010247;1383568;0;Brachmattstrasse;4;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587820;1219470;802395;13462344;39.84166501;50081;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;6811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;135503;101941779;10057930;1383693;0;Gummenstrasse;20;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588357;1219419;1098797;13462803;90.83983924;66949;Gering##Faible##Bassa##Low##Gering;9105;13462802;51.93613487;74840;Top##Top##Top##Top##Top;10178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;135563;101929340;10010261;1383811;0;Pfeidstrasse;24;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;25.01.2022;2587653;1218949;3236021;13455935;69.05332864;60145;Mittel##Moyenne##Media##Mean##Mittel;8180;13455936;69.79320754;97710;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;13289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;135607;101963481;10010263;1383466;0;Rainstrasse;9;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587264;1219418;2070879;13461851;55.99756571;71229;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;9687;13461848;4.854709044;6889;Top##Top##Top##Top##Top;937;13461847;3.080460779;2024;Gering##Faible##Bassa##Low##Gering;275;13461850;61.01446793;57110;Mittel##Moyenne##Media##Mean##Mittel;7767;13461849;48.35982056;60546;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;8234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;135849;100849883;10086638;1383723;0;Klosterstrasse;9;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588442;1219475;3149584;13462860;18.73396476;21769;Gut##Bonne##Buona##Good##Gut;2961;13462858;47.29469425;58835;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;8002;13462862;9.963948762;12335;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;1678;13462861;39.88995908;48506;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;6597;13462859;87.61592178;98217;Gut##Bonne##Buona##Good##Gut;13358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;135950;101797090;10086643;190624070;0;Waldeckstrasse;2;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2586986;1219466;998702;13461296;10.24381501;10858;Gut##Bonne##Buona##Good##Gut;1477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;136059;101498468;10180643;190165463;0;Gottstattstrasse;6;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588090;1219439;3396360;13462675;56.45068333;56451;Mittel##Moyenne##Media##Mean##Mittel;7677;13462677;79.78375798;100208;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;13628;13462676;45.9098573;49261;Gut##Bonne##Buona##Good##Gut;6699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;136130;100848565;10057930;1383694;0;Gummenstrasse;18;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588342;1219441;3473519;13462876;132.729228;124367;Mittel##Moyenne##Media##Mean##Mittel;16914;13462875;55.48053076;79393;Top##Top##Top##Top##Top;10797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;136385;101940683;10109854;3069457;0;Mettgasse;7;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588169;1219385;789941;13462636;135.0276409;189039;Top##Top##Top##Top##Top;25709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;136806;101953617;10086640;1383728;0;Orpundstrasse;9;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588315;1219236;1862027;13459455;54.22895631;63556;Gut##Bonne##Buona##Good##Gut;8644;13459453;5.041972275;3116;Gering##Faible##Bassa##Low##Gering;424;13459454;5.648328246;8190;Top##Top##Top##Top##Top;1114;13459456;71.39373416;73893;Gut##Bonne##Buona##Good##Gut;10049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
