,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2504340,102883920,10010261,504032141,0,Pfeidstrasse,14a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587711,1219026
2504344,102883531,10242606,504032187,0,A5,50,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586653,1219268
2504351,102883808,10010247,504032172,0,Brachmattstrasse,8,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587863,1219509
2504353,102883682,10010250,504032403,0,Friedhofweg,43a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587419,1219214
2504523,102883573,10010245,504032506,0,Ahornweg,18b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586843,1219508
2504525,102883626,10010249,504032415,0,Erlenstrasse,4a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587559,1218794
2504544,102883653,10057933,504032250,0,Portstrasse,50e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586214,1218953
2504545,102883678,10010246,504032479,0,Bielstrasse,48a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587172,1219328
2504589,102883781,10112480,504032383,0,Hauptstrasse,16b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588014,1219243
2504635,102883625,10109854,504032342,0,Mettgasse,11a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588134,1219472
2504641,102883827,10086637,504032370,0,Hofmatt,2b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588242,1219336
2504647,102883840,10086637,504032367,0,Hofmatt,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588327,1219348
2504688,102883550,10010249,504032432,0,Erlenstrasse,35b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586547,1218779
2504689,102883848,10086640,504032288,0,Orpundstrasse,28a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588549,1219296
2504747,102883572,10010245,504032503,0,Ahornweg,22a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586820,1219474
2504750,102883815,10112480,504032152,0,Hauptstrasse,6a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588105,1219208
2504753,102883750,10010264,504032134,0,Rosenweg,1a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587721,1219604
2504768,102883916,10010261,504032142,0,Pfeidstrasse,12a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587715,1219039
2504778,102883859,10057929,504032449,0,Bärletweg,30a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587664,1219610
2504786,102883888,10010248,504032442,0,Dahlienweg,1a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587775,1219577
2504794,102883921,10086638,504032353,0,Klosterstrasse,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588380,1219463
2504800,102883885,10086636,504032453,0,Burgersriedstrasse,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587021,1219454
2504820,102883874,10086640,504032282,0,Orpundstrasse,34d,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588692,1219363
2504832,102883557,10130222,504032510,0,Aarestrasse,4a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587902,1219083
2504852,102883597,10175297,504032346,0,Längholz,8,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587807,1219995
2504861,102883767,10112480,504032155,0,Hauptstrasse,12b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588070,1219237
2504882,102883712,10010246,504032471,0,Bielstrasse,59a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587338,1219297
2504886,102883603,10109853,504032497,0,Bernstrasse,26a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586674,1219213
2505052,102883791,10010247,504032458,0,Brachmattstrasse,15a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587881,1219606
2505059,102883731,10104746,504032317,0,Obergasse,14b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588042,1219331
