Adresse;PLZ;Stadt;Preis (CHF/m2/jahr);Link;Ganze Adresse;Longitude;Latitude
Limmatquai 1;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001733630;Limmatquai 1 8001;8.544623374938965;47.36772918701172
Bahnhofstrasse 67;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001744287;Bahnhofstrasse 67 8001;8.53801441192627;47.37369155883789
Stadelhoferstr. 18;8001;Zürich;Price on request;https://www.homegate.ch/rent/3000891489;Stadelhoferstr. 18 8001;8.547636985778809;47.36698532104492
Löwenstrasse 55;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001704310;Löwenstrasse 55 8001;8.537649154663086;47.376609802246094
Limmatquai 144 / Zähringerstr.;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001637286;Limmatquai 144 / Zähringerstr. 8001;8.544174194335938;47.376564025878906
Zähringerstrasse 24;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001650096;Zähringerstrasse 24 8001;8.544767379760742;47.37520980834961
Limmatquai 52;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001364076;Limmatquai 52 8001;8.543158531188965;47.37138748168945
Basteiplatz 7;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001758807;Basteiplatz 7 8001;8.535841941833496;47.36969757080078
General-Guisan-Quai 30;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001735544;General-Guisan-Quai 30 8001; 8.535998186007488;47.36434935242454
Sihlstrasse 3;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001724740;Sihlstrasse 3 8001;8.537691116333008;47.37370300292969
Glärnischstrasse 8;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001495793;Glärnischstrasse 8 8001; 8.538871759020203;47.366851645913705
Selnaustrasse 32;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001724736;Selnaustrasse 32 8001;8.5316743850708;47.37123489379883
Bahnhofstrasse 69a;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001730138;Bahnhofstrasse 69a 8001;8.538202285766602;47.37419128417969
Löwenstrasse 25;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001124348;Löwenstrasse 25 8001;8.535500526428223;47.374420166015625
Bahnhofstrasse 69a;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001763636;Bahnhofstrasse 69a 8001;8.538202285766602;47.37419128417969
Bahnhofstrasse 71;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001519840;Bahnhofstrasse 71 8001;8.53826904296875;47.37432861328125
Bahnhofstrasse 71;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001756827;Bahnhofstrasse 71 8001;8.53826904296875;47.37432861328125
Bahnhofstrasse 108;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001673248;Bahnhofstrasse 108 8001;8.539981842041016;47.37666320800781
Uraniastrasse 14;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001764335;Uraniastrasse 14 8001;8.536569595336914;47.37455749511719
Talstrasse 41;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001608311;Talstrasse 41 8001;8.537249565124512;47.36930465698242
Bahnhofstrasse 12;8001;Zürich;Price on request;https://www.homegate.ch/rent/3001668468;Bahnhofstrasse 12 8001;8.540068626403809;47.368282318115234
Alfred-Escher-Strasse 5;8002;Zürich;375;https://www.homegate.ch/rent/3001076144;Alfred-Escher-Strasse 5 8002;8.532698631286621;47.3654899597168
Parkring 7;8002;Zürich;402;https://www.homegate.ch/rent/3001467605;Parkring 7 8002;8.53193187713623;47.36679458618164
Richard Wagner-Strasse 26;8002;Zürich;520;https://www.homegate.ch/rent/3001635007;Richard Wagner-Strasse 26 8002;8.53259563446045;47.359474182128906
Seestrasse 160;8002;Zürich;274.93;https://www.homegate.ch/rent/3001239358;Seestrasse 160 8002;8.531987190246582;47.35566329956055
Beethovenstrasse 24;8002;Zürich;450;https://www.homegate.ch/rent/3001704254;Beethovenstrasse 24 8002;8.536630630493164;47.366676330566406
Freigutstrasse 26;8002;Zürich;440;https://www.homegate.ch/rent/3001491125;Freigutstrasse 26 8002;8.53105640411377;47.36844253540039
Tödistrasse 36;8002;Zürich;491.80;https://www.homegate.ch/rent/3001746909;Tödistrasse 36 8002;8.534516334533691;47.366703033447266
Tödistr. 67;8002;Zürich;540;https://www.homegate.ch/rent/3001669548;Tödistr. 67 8002;8.532453536987305;47.36894226074219
Stockerstrasse 10;8002;Zürich;550;https://www.homegate.ch/rent/3001751120;Stockerstrasse 10 8002;8.53647518157959;47.3653450012207
Jenatschstrasse 1;8002;Zürich;442;https://www.homegate.ch/rent/3001621667;Jenatschstrasse 1 8002;8.534124374389648;47.36357879638672
Tödistr. 46;8002;Zürich;491;https://www.homegate.ch/rent/3000917445;Tödistr. 46 8002;8.533926010131836;47.36750030517578
Dianastrasse 9;8002;Zürich;520;https://www.homegate.ch/rent/3000849313;Dianastrasse 9 8002;8.533132553100586;47.368656158447266
Dreikönigstrasse 31a;8002;Zürich;1207.20;https://www.homegate.ch/rent/3001261720;Dreikönigstrasse 31a 8002;8.535018920898438;47.36639404296875
Alfred-Escher-Strasse 50-60;8002;Zürich;560;https://www.homegate.ch/rent/3000729916;Alfred-Escher-Strasse 50-60 8002;8.533811569213867;47.361297607421875
Freigutstrasse 16;8002;Zürich;500;https://www.homegate.ch/rent/3000153225;Freigutstrasse 16 8002;8.531609535217285;47.368011474609375
Rieterstrasse 6;8002;Zürich;368;https://www.homegate.ch/rent/3001615038;Rieterstrasse 6 8002;8.525476455688477;47.36067199707031
Beethovenstrasse 33;8002;Zürich;810;https://www.homegate.ch/rent/3001775156;Beethovenstrasse 33 8002;8.535783767700195;47.36715316772461
Dianastrasse 5;8002;Zürich;550;https://www.homegate.ch/rent/3000808051;Dianastrasse 5 8002;8.533564567565918;47.368804931640625
Dianastrasse 5;8002;Zürich;550;https://www.homegate.ch/rent/3000076661;Dianastrasse 5 8002;8.533564567565918;47.368804931640625
Giesshübelstrasse 45;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001397326;Giesshübelstrasse 45 8002; 8.52028123203247;47.35770748898547
Giesshübelstrasse 45;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001662264;Giesshübelstrasse 45 8002; 8.52028123203247;47.35770748898547
Freigutstrasse 12 + 14;8002;Zürich;Price on request;https://www.homegate.ch/rent/3000842969;Freigutstrasse 12 + 14 8002;8.532320022583008;47.36747741699219
Sihlberg 10;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001500259;Sihlberg 10 8002;8.525043487548828;47.363277435302734
Sihlberg 10;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001500251;Sihlberg 10 8002;8.525043487548828;47.363277435302734
Gartenstrasse;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001619083;Gartenstrasse 8002;8.534747123718262;47.36859893798828
Beethovenstr. 20;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001462965;Beethovenstr. 20 8002;8.536792755126953;47.36647033691406
Beethovenstr. 20;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001461711;Beethovenstr. 20 8002;8.536792755126953;47.36647033691406
Räffelstrasse 20;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001703538;Räffelstrasse 20 8002; 8.513627424640474;47.3637529895225
Genferstrasse 6;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001764340;Genferstrasse 6 8002;8.535000801086426;47.364349365234375
Stockerstrasse 34;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001733628;Stockerstrasse 34 8002;8.535231590270996;47.367034912109375
Tödistrasse 48;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001756622;Tödistrasse 48 8002;8.533804893493652;47.36766815185547
Stockerstrasse 34;8002;Zürich;Price on request;https://www.homegate.ch/rent/3001768259;Stockerstrasse 34 8002;8.535231590270996;47.367034912109375
Zweierstrasse 129;8003;Zürich;300;https://www.homegate.ch/rent/3001776316;Zweierstrasse 129 8003;8.520133972167969;47.37090301513672
Aemtlerstrasse 112;8003;Zürich;331.11;https://www.homegate.ch/rent/3001464186;Aemtlerstrasse 112 8003;8.51219654083252;47.37510681152344
Aemtlerstrasse 96a;8003;Zürich;313.32;https://www.homegate.ch/rent/3001700453;Aemtlerstrasse 96a 8003;8.513662338256836;47.374664306640625
Letzigraben 89;8003;Zürich;270;https://www.homegate.ch/rent/3001462396;Letzigraben 89 8003;8.499475479125977;47.37800216674805
Zentralstrasse 156;8003;Zürich;210;https://www.homegate.ch/rent/3001190755;Zentralstrasse 156 8003;8.514780044555664;47.37583923339844
Europaallee 41;8004;Zürich;39.60;https://www.homegate.ch/rent/108839848;Europaallee 41 8004;8.53201675415039;47.3787956237793
Europaallee 41;8004;Zürich;90;https://www.homegate.ch/rent/108839852;Europaallee 41 8004;8.53201675415039;47.3787956237793
Hohlstrasse 192;8004;Zürich;298.80;https://www.homegate.ch/rent/3001534667;Hohlstrasse 192 8004;8.517414093017578;47.381595611572266
Weberstrasse 21;8004;Zürich;294;https://www.homegate.ch/rent/3001603634;Weberstrasse 21 8004;8.527434349060059;47.3709831237793
Norastrasse 5;8004;Zürich;250;https://www.homegate.ch/rent/3001761020;Norastrasse 5 8004;8.50741958618164;47.38034439086914
Badenerstrasse 144;8004;Zürich;330;https://www.homegate.ch/rent/3001709425;Badenerstrasse 144 8004;8.522456169128418;47.374488830566406
Badenerstrasse 144;8004;Zürich;330;https://www.homegate.ch/rent/3001713818;Badenerstrasse 144 8004;8.522456169128418;47.374488830566406
Badenerstrasse 47;8004;Zürich;588.22;https://www.homegate.ch/rent/3001261695;Badenerstrasse 47 8004;8.528548240661621;47.37317657470703
Stauffacherstrasse 45;8004;Zürich;440;https://www.homegate.ch/rent/3001631100;Stauffacherstrasse 45 8004;8.527688026428223;47.374515533447266
Badenerstrasse 141 rechts;8004;Zürich;402.94;https://www.homegate.ch/rent/3001694329;Badenerstrasse 141 rechts 8004;8.522504806518555;47.37415313720703
Lutherstrasse 2;8004;Zürich;420;https://www.homegate.ch/rent/3001775725;Lutherstrasse 2 8004;8.529879570007324;47.37372589111328
Freischützgasse 1;8004;Zürich;455;https://www.homegate.ch/rent/3001537106;Freischützgasse 1 8004;8.532404899597168;47.3770751953125
Wengistrasse 7;8004;Zürich;415;https://www.homegate.ch/rent/3001481546;Wengistrasse 7 8004;8.522947311401367;47.375030517578125
Wengistrasse 7;8004;Zürich;380;https://www.homegate.ch/rent/3001525722;Wengistrasse 7 8004;8.522947311401367;47.375030517578125
Wengistrasse 7;8004;Zürich;415;https://www.homegate.ch/rent/3001481545;Wengistrasse 7 8004;8.522947311401367;47.375030517578125
Kasernenstr. 77 A/B;8004;Zürich;541;https://www.homegate.ch/rent/3001704295;Kasernenstr. 77 A/B 8004;8.533889770507812;47.376220703125
Militärstrasse 36;8004;Zürich;556;https://www.homegate.ch/rent/3001608167;Militärstrasse 36 8004;8.532125473022461;47.37725067138672
