postal_code,Gde-Nr.,PLZ,Gemeinde,global_rad_10y_mean:W
postal_CH6835,5269,6835,Breggia,182.415811373093
postal_CH6807,5227,6807,Torricella-Taverne,189.78515950069337
postal_CH4443,2867,4443,Wittinsburg,190.8722607489597
postal_CH8854,1346,8854,Schübelbach,193.32468793342574
postal_CH9058,3103,9058,Rüte,186.23717059639398
postal_CH4103,2767,4103,Bottmingen,192.795977808599
postal_CH8558,4846,8558,Raperswilen,193.88474341192784
postal_CH9240,3407,9240,Oberuzwil,191.89167822468792
postal_CH4242,2787,4242,Laufen,190.50568654646312
postal_CH1337,5764,1337,Vallorbe,190.2460471567268
postal_CH4915,1139,4915,Pfaffnau,193.95423023578354
postal_CH6234,1104,6234,Triengen,193.4757281553396
postal_CH3238,494,3238,Gals,193.7127600554785
postal_CH3616,935,3616,Oberlangenegg,195.31012482662967
postal_CH3814,577,3814,Gsteigwiler,190.74618585298202
postal_CH3631,770,3631,Stocken-Höfen,191.58987517337022
postal_CH3047,353,3047,Bremgarten bei Bern,197.6841886269069
postal_CH3128,889,3128,Thurnen,195.9220527045771
postal_CH2905,6785,2905,Courtedoux,190.09861303744805
postal_CH3421,422,3421,Rüti bei Lyssach,195.5155339805825
postal_CH3531,620,3531,Oberthal,190.65048543689332
postal_CH6102,1062,6102,Malters,191.07434119278776
postal_CH7166,3987,7166,Trun,200.0719833564494
postal_CH7113,3618,7113,Lumnezia,180.8342579750348
postal_CH6950,5226,6950,Capriasca,190.61137309292653
postal_CH2723,437,2723,Mont-Tramelan,187.0762829403606
postal_CH8507,4816,8507,Homburg,194.01941747572806
postal_CH4613,2582,4613,Rickenbach (SO),192.99847434119266
postal_CH4653,2497,4653,Obergösgen,192.91359223300975
postal_CH3427,552,3427,Utzenstorf,194.38418862690696
postal_CH3428,554,3428,Wiler bei Utzenstorf,194.29098474341203
postal_CH6565,3822,6565,Mesocco,178.25395284327325
postal_CH9525,3423,9525,Niederhelfenschwil,192.8054091539527
postal_CH6464,1218,6464,Spiringen,191.56380027739252
postal_CH5733,4137,5733,Leimbach (AG),193.5511789181693
postal_CH5707,4208,5707,Seengen,194.8091539528432
postal_CH5306,4320,5306,Tegerfelden,190.90693481276006
postal_CH5506,4032,5506,Mägenwil,194.05006934812758
postal_CH4944,322,4944,Auswil,193.07420249653262
postal_CH4917,325,4917,Busswil bei Melchnau,194.16546463245504
postal_CH4588,2463,4588,Unterramsern,194.6355062413315
postal_CH8125,161,8125,Zollikon,194.6963938973649
postal_CH3994,6061,3994,Lax,192.72538141470173
